iter	Passed	Remaining
1291	111865	1186885
1292	111949	1186773
1293	112031	1186629
1294	112117	1186545
1295	112199	1186411
1296	112281	1186271
1297	112363	1186140
1298	112461	1186170
1299	112540	1186006
1300	112621	1185861
1301	112702	1185716
1302	112793	1185676
1303	112881	1185601
1304	112963	1185467
1305	113043	1185315
1306	113136	1185294
1307	113225	1185237
1308	113310	1185131
1309	113397	1185044
1310	113481	1184932
1311	113566	1184828
1312	113655	1184768
1313	113739	1184656
1314	113823	1184545
1315	113907	1184434
1316	113991	1184317
1317	114077	1184224
1318	114160	1184100
1319	114239	1183934
1320	114326	1183849
1321	114406	1183703
1322	114488	1183572
1323	114574	1183472
1324	114662	1183401
1325	114742	1183251
1326	114823	1183109
1327	114909	1183014
1328	114988	1182853
1329	115071	1182730
1330	115159	1182653
1331	115243	1182544
1332	115324	1182400
1333	115405	1182258
1334	115486	1182113
1335	115567	1181975
1336	115653	1181884
1337	115737	1181764
1338	115823	1181677
1339	115910	1181592
1340	116000	1181539
1341	116090	1181492
1342	116173	1181373
1343	116258	1181271
1344	116341	1181147
1345	116422	1181009
1346	116523	1181070
1347	116602	1180900
1348	116686	1180789
1349	116773	1180714
1350	116853	1180559
1351	116932	1180393
1352	117017	1180289
1353	117099	1180166
1354	117183	1180045
1355	117267	1179944
1356	117351	1179831
1357	117436	1179727
1358	117527	1179685
1359	117616	1179620
1360	117696	1179476
1361	117774	1179297
1362	117853	1179139
1363	117930	1178962
1364	118014	1178852
1365	118093	1178691
1366	118182	1178624
1367	118257	1178422
1368	118342	1178324
1369	118419	1178141
1370	118502	1178021
1371	118584	1177893
1372	118669	1177795
1373	118748	1177633
1374	118831	1177515
1375	118911	1177363
1376	118991	1177216
1377	119073	1177085
1378	119160	1177001
1379	119247	1176925
1380	119334	1176836
1381	119417	1176721
1382	119500	1176604
1383	119583	1176475
1384	119667	1176373
1385	119743	1176181
1386	119824	1176041
1387	119911	1175957
1388	120007	1175969
1389	120086	1175807
1390	120172	1175721
1391	120268	1175730
1392	120349	1175593
1393	120424	1175394
1394	120516	1175355
1395	120599	1175240
1396	120684	1175144
1397	120775	1175095
1398	120855	1174950
1399	120938	1174827
1400	121023	1174728
1401	121106	1174613
1402	121189	1174489
1403	121268	1174338
1404	121346	1174170
1405	121429	1174046
1406	121511	1173924
1407	121594	1173799
1408	121684	1173754
1409	121766	1173626
1410	121852	1173531
1411	121942	1173484
1412	122029	1173401
1413	122109	1173252
1414	122195	1173166
1415	122282	1173087
1416	122368	1172996
1417	122449	1172860
1418	122533	1172747
1419	122624	1172707
1420	122708	1172596
1421	122786	1172428
1422	122873	1172349
1423	122961	1172282
1424	123049	1172209
1425	123134	1172108
1426	123214	1171959
1427	123295	1171828
1428	123381	1171739
1429	123479	1171758
1430	123559	1171611
1431	123638	1171453
1432	123721	1171342
1433	123803	1171208
1434	123885	1171082
1435	123971	1170995
1436	124056	1170896
1437	124137	1170763
1438	124225	1170685
1439	124305	1170547
1440	124401	1170547
1441	124482	1170416
1442	124578	1170417
1443	124675	1170430
1444	124761	1170340
1445	124844	1170223
1446	124933	1170165
1447	125013	1170018
1448	125101	1169941
1449	125184	1169822
1450	125268	1169722
1451	125353	1169616
1452	125434	1169488
1453	125532	1169510
1454	125630	1169527
1455	125710	1169380
1456	125791	1169248
1457	125871	1169106
1458	125954	1168990
1459	126031	1168816
1460	126113	1168690
1461	126194	1168554
1462	126279	1168456
1463	126361	1168323
1464	126449	1168253
1465	126529	1168110
1466	126612	1167993
1467	126690	1167834
1468	126775	1167729
1469	126855	1167590
1470	126940	1167486
1471	127025	1167391
1472	127107	1167268
1473	127188	1167127
1474	127323	1167491
1475	127406	1167374
1476	127494	1167305
1477	127573	1167153
1478	127654	1167014
1479	127735	1166881
1480	127818	1166767
1481	127904	1166678
1482	127987	1166559
1483	128066	1166406
1484	128150	1166294
1485	128229	1166146
1486	128311	1166020
1487	128393	1165891
1488	128474	1165758
1489	128568	1165744
1490	128653	1165643
1491	128736	1165528
1492	128820	1165420
